d_name,model_name,bias_mean,variance_mean,test_mse_mean,test_score_mean,n_subsamples_mean,subsample_ratio_mean,fit_time_mean,n_splits_mean,random_state_mean,test_size_mean,bias_std,variance_std,test_mse_std,test_score_std,n_subsamples_std,subsample_ratio_std,fit_time_std,n_splits_std,random_state_std,test_size_std
california housing,EGB_XGB_GAM_CYCLIC_CYCLIC,0.3304130344480515,0.00801238548184632,0.33842541992989794,-0.5816813420766196,5,0.5,892.9692933082581,5,42,3096,0.010789379963012838,0.0005843007395377658,0.01073261952871531,0.009197505395118986,0.0,0.0,20.947074831024736,0.0,0.0,0.0
california housing,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,0.33042970162477814,0.008016872110676,0.33844657373545417,-0.5817002730345695,5,0.5,905.7851829051972,5,42,3096,0.010692214160749076,0.000597578299469965,0.01066542869161415,0.009140342911515822,0.0,0.0,50.81827260123261,0.0,0.0,0.0
california housing,Spline,0.35773335438658166,0.006546428119050343,0.364279782505632,-0.6033388249485944,5,0.5,1.6072580337524414,5,42,3096,0.009854640982667416,0.008292456900774667,0.015886191560232535,0.012864137940695918,0.0,0.0,0.02190960051727395,0.0,0.0,0.0
california housing,XGB,0.2154782286455197,0.026131881400942802,0.24161010916680037,-0.4913538743651834,5,0.5,1.7913423538208009,5,42,3096,0.014557574963662437,0.0018056085743856903,0.013792313643043789,0.01406541908755281,0.0,0.0,0.29773366680081953,0.0,0.0,0.0
churn,EBM_GA2M,0.1359792173761793,0.0007821106972746199,0.136761328073454,0.841207465437788,5,0.5,9.883754253387451,5,42,1055,0.0052362998794702855,8.061555373997084e-05,0.005303138412861015,0.012863351821565328,0.0,0.0,0.7103326018799136,0.0,0.0,0.0
churn,EBM_GAM,0.13649685558632108,0.00053322736814052,0.13703008295446165,0.8405388018433179,5,0.5,5.056339263916016,5,42,1055,0.005179126697044276,4.450465203415928e-05,0.005222384142069733,0.013119926583258223,0.0,0.0,0.29211631252271475,0.0,0.0,0.0
churn,EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.1357020685546193,0.0008133591190793837,0.1365154276736987,0.8419731797235024,5,0.5,214.59965867996215,5,42,1055,0.005135672523533165,0.0001980247541524411,0.005318909577559275,0.012856179519763302,0.0,0.0,15.228927943864173,0.0,0.0,0.0
churn,EGB_XGB_GA2M_CYCLIC_CYCLIC,0.13576992036212787,0.0007537603595938527,0.13652368072172175,0.8420301382488479,5,0.5,217.95622329711915,5,42,1055,0.005130335037782336,0.0001446599523725042,0.005267951910071561,0.012678545784985848,0.0,0.0,11.23868316853086,0.0,0.0,0.0
churn,EGB_XGB_GAM_BEST_FIT_BEST_FIT,0.13587593829740857,0.00073732513404132,0.13661326343144986,0.8419881105990784,5,0.5,73.85268688201904,5,42,1055,0.004865176846636144,0.00010291165172540413,0.004965239993009765,0.012500512531275041,0.0,0.0,2.5398378234903234,0.0,0.0,0.0
churn,EGB_XGB_GAM_CYCLIC_CYCLIC,0.13593066556889088,0.00065093426421644,0.1365815998331073,0.8418845161290323,5,0.5,151.48471269607543,5,42,1055,0.00515334575094627,0.00011339428604568905,0.0052529756669740715,0.012766415749322217,0.0,0.0,9.639795816944487,0.0,0.0,0.0
