d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
california housing,EBM_GAM,25.884119033813477,341680.0,0.0,-0.5684347675727005,5,42,3096,1.5164660816733957,16199.925925756574,0.0,0.011087240217712237,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,521.5203534603119,177407.4,210859.6,-0.49306049345645697,5,42,3096,19.630843505461698,4395.086495167076,6087.469326411426,0.014007360844570821,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_CYCLIC_BEST_FIT,643.6032999038696,298835.0,217215.8,-0.4956153258134818,5,42,3096,11.427831539824355,9414.13259413739,8578.438709928512,0.013707993100244013,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_CYCLIC_CYCLIC,809.9810010910035,299448.8,326179.6,-0.49999724892631614,5,42,3096,24.085951788650647,7459.002393081801,18212.977949802713,0.013027222710401607,0.0,0.0,0.0
california housing,EGB_XGB_GAM_BEST_FIT_BEST_FIT,193.22396206855774,177407.4,0.0,-0.5665065132090051,5,42,3096,6.436255697081772,4395.086495167076,0.0,0.011499737168130984,0.0,0.0,0.0
california housing,EGB_XGB_GAM_CYCLIC_CYCLIC,326.5972985744476,301192.2,0.0,-0.5709356760095105,5,42,3096,33.688891829414835,10496.35135177934,0.0,0.01222632805417121,0.0,0.0,0.0
california housing,Spline,10.684456300735473,0.0,0.0,-0.5986868393984496,5,42,3096,0.6217642808219823,0.0,0.0,0.008740790040727288,0.0,0.0,0.0
california housing,XGB,0.855520486831665,0.0,0.0,-0.46497323653032085,5,42,3096,0.22627431919695018,0.0,0.0,0.014048442356429925,0.0,0.0,0.0
churn,EBM_GA2M,3.3449459075927734,50201.8,13238.4,0.8425709677419355,5,42,1055,0.19581781244465452,3128.5852553510513,1430.3051422686,0.01256552337674519,0.0,0.0,0.0
churn,EBM_GAM,1.9421187400817872,50201.8,0.0,0.8424764976958524,5,42,1055,0.12332279801653966,3128.5852553510513,0.0,0.012859892199808097,0.0,0.0,0.0
