model_name,bias,variance,test_mse,test_score,n_subsamples,subsample_ratio,fit_time,d_name,split_idx,n_splits,random_state,test_size
EBM_GAM,0.0206093378530014,0.0004300473106697,0.0210393851636711,-0.145036194159794,5,0.5,5.739677429199219,Crimes,1,5,42,300
EBM_GAM,0.0193131548558721,0.000489383040152,0.0198025378960242,-0.1407164520963011,5,0.5,5.859829664230347,Crimes,2,5,42,300
EBM_GAM,0.0196356808756324,0.0004412259977518,0.0200769068733843,-0.1416693956737593,5,0.5,5.883914232254028,Crimes,3,5,42,300
EBM_GAM,0.0172285431310555,0.0005300830480124,0.017758626179068,-0.1332452915068692,5,0.5,5.788426399230957,Crimes,4,5,42,300
EBM_GAM,0.0099180788207445,0.0007871929503209,0.0107052717710655,-0.1033721544056373,5,0.5,2.22631573677063,synthetic_corr,0,5,42,150
EBM_GAM,0.0090819436029702,0.0009312826203038,0.0100132262232741,-0.0999227988714433,5,0.5,2.248750686645508,synthetic_corr,1,5,42,150
EBM_GAM,0.0090663884029663,0.0007914225336672,0.0098578109366336,-0.0992765858376432,5,0.5,2.425907850265503,synthetic_corr,2,5,42,150
EBM_GAM,0.0073452837516678,0.0006190302945817,0.0079643140462496,-0.0891942531038147,5,0.5,2.5470433235168457,synthetic_corr,3,5,42,150
EBM_GAM,0.0102332696628956,0.0011353674041419,0.0113686370670376,-0.1064033356625267,5,0.5,2.486302375793457,synthetic_corr,4,5,42,150
EBM_GAM,13.363119204647983,0.323804912106079,13.686924116754062,-3.6995471789063537,5,0.5,19.818019151687626,fico,0,5,42,1480
EBM_GAM,12.698375948303358,0.2765026543677608,12.974878602671115,-3.601988029722176,5,0.5,18.379714012146,fico,1,5,42,1480
EBM_GAM,11.822153953816736,0.3032926974427835,12.12544665125952,-3.48205600763352,5,0.5,17.799498796463013,fico,2,5,42,1480
EBM_GAM,12.833349765082303,0.3177224904391689,13.151072255521472,-3.62638997550974,5,0.5,18.15296983718872,fico,3,5,42,1480
EBM_GAM,11.86000042242317,0.3501407528414715,12.210141175264642,-3.4942749469712573,5,0.5,17.691208839416504,fico,4,5,42,1480
EBM_GAM,0.3285177442194887,0.0065176884348563,0.3350354326543451,-0.5788214389138074,5,0.5,58.51006174087525,california housing,0,5,42,3096
EBM_GAM,0.3310849565387783,0.0079279604261621,0.3390129169649404,-0.5822418357007264,5,0.5,59.555004596710205,california housing,1,5,42,3096
EBM_GAM,0.342171224797969,0.0076592727851807,0.3498304975831497,-0.591463660222762,5,0.5,60.26968455314636,california housing,2,5,42,3096
EBM_GAM,0.3184667252700417,0.0083521124378678,0.3268188377079096,-0.5716622214335304,5,0.5,60.58776378631592,california housing,3,5,42,3096
EBM_GAM,0.3186012102189278,0.0071297902521783,0.3257310004711061,-0.570726514994124,5,0.5,54.89769983291626,california housing,4,5,42,3096
EBM_GAM,30.49447094198574,3.1852392620981016,33.67971020408383,-5.79612094473462,5,0.5,6.386087417602539,concrete,0,5,42,155
EBM_GAM,25.29960839793871,3.237935683062151,28.537544081000863,-5.338891862822977,5,0.5,5.824018955230713,concrete,1,5,42,155
EBM_GAM,23.55993541716241,3.4909280104354146,27.05086342759784,-5.1966316028234605,5,0.5,6.35948371887207,concrete,2,5,42,155
EBM_GAM,29.93504160962759,4.4852220698224405,34.42026367945003,-5.864690218893716,5,0.5,5.563973665237427,concrete,3,5,42,155
EBM_GAM,24.438951613068635,4.119059127949885,28.558010741018524,-5.34177508961987,5,0.5,5.592515468597412,concrete,4,5,42,155
EBM_GAM,0.2071972845547873,0.0005631678314865,0.2077604523862738,0.733524141012676,5,0.5,4.5357441902160645,compass,0,5,42,926
EBM_GAM,0.2030297719044052,0.0004567069936227,0.2034864788980279,0.7479499541403072,5,0.5,3.913658380508423,compass,1,5,42,926
EBM_GAM,0.2036762142690392,0.0004345192344758,0.2041107335035151,0.7439641588861974,5,0.5,3.450141668319702,compass,2,5,42,926
EBM_GAM,0.2074834488591308,0.000450081163934,0.2079335300230648,0.7335232003010277,5,0.5,3.8372631072998047,compass,3,5,42,926
EBM_GAM,0.2026460288861157,0.000461175289007,0.2031072041751228,0.7478601161778886,5,0.5,3.39517593383789,compass,4,5,42,926
EBM_GAM,0.1464604015964133,0.0010076211979645,0.1474680227943778,0.8131668564793104,5,0.5,7.927588224411011,support2,0,5,42,1366
EBM_GAM,0.134922977942883,0.0010518093994138,0.1359747873422968,0.8333020700743619,5,0.5,7.625672340393066,support2,1,5,42,1366
EBM_GAM,0.1443855779498447,0.0010308529227358,0.1454164308725805,0.8003595274781716,5,0.5,8.337074518203735,support2,2,5,42,1366
EBM_GAM,0.1428325897920305,0.000866002536611,0.1436985923286416,0.8143208056988455,5,0.5,7.813730955123901,support2,3,5,42,1366
EBM_GAM,0.1467345213711421,0.0011336166690122,0.1478681380401544,0.7981956633393626,5,0.5,8.237555980682373,support2,4,5,42,1366
EBM_GAM,9653.536597929658,68.02789231224267,9721.5644902419,-98.59795524298924,5,0.5,31.191251516342163,bike,0,5,42,2607
EBM_GAM,9519.641922143312,79.11589177568885,9598.757813919,-97.97298147427011,5,0.5,33.04907584190369,bike,1,5,42,2607
EBM_GAM,9403.122764148562,80.12535582920522,9483.248119977765,-97.38191316939208,5,0.5,32.95082688331604,bike,2,5,42,2607
