,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,throughput,latency,failed,time,param_iter
533,149,4,209,1185,3761,4020.7470548027823,216.25989936556553,0.0,24871.0,3
534,149,4,209,1185,3761,3749.812509374531,226.39724445506312,0.0,26668.0,2
535,150,7,1169,235,1311,3346.720214190094,276.5300050530571,0.0,29880.0,0
536,150,7,1169,235,1311,3556.567201337269,269.6884780653543,0.0,28117.0,4
537,150,7,1169,235,1311,3441.0378170056088,281.33804817541613,0.0,29061.0,3
538,150,7,1169,235,1311,3572.321651841532,259.63356693909515,0.0,27993.0,2
539,150,7,1169,235,1311,3181.572333046992,305.24388785940585,0.0,31431.0,1
540,151,5,689,710,4986,3349.1861477660927,288.74414050792257,0.0,29858.0,4
541,151,5,689,710,4986,3067.3905708413854,305.6171954964176,0.0,32601.0,0
542,151,5,689,710,4986,3301.3106203162656,284.2018510004597,0.0,30291.0,3
543,151,5,689,710,4986,3171.582619727244,296.59577470387154,0.0,31530.0,2
544,151,5,689,710,4986,2872.8202476371052,334.38358957954296,0.0,34809.0,1
545,152,2,1649,1660,2536,5977.286312014346,144.75945897276856,0.0,16730.0,0
546,152,2,1649,1660,2536,5404.236921746649,181.2447319630789,0.0,18504.0,1
547,152,2,1649,1660,2536,5983.724269985639,144.12093199696523,0.0,16712.0,3
548,152,2,1649,1660,2536,5921.013677541595,149.24894540074771,0.0,16889.0,4
549,152,2,1649,1660,2536,5499.945000549995,164.56080851658777,0.0,18182.0,2
550,153,2,569,829,1004,5920.312592504884,149.07538101055414,0.0,16891.0,3
551,153,2,569,829,1004,5781.683626271971,153.00888319795126,0.0,17296.0,2
552,153,2,569,829,1004,5629.996622002027,153.91959588713533,0.0,17762.0,4
553,153,2,569,829,1004,5208.875924575476,188.76103656457468,0.0,19198.0,1
554,153,2,569,829,1004,5523.946307241894,165.18568723213394,0.0,18103.0,0
555,154,6,1529,1779,3454,4117.429077284144,223.2350475349994,0.0,24287.0,2
556,154,6,1529,1779,3454,4137.189193661826,219.91713497090888,0.0,24171.0,0
557,154,6,1529,1779,3454,3954.9139806209214,225.69937669809812,0.0,25285.0,3
558,154,6,1529,1779,3454,4014.774369680424,225.79397426676258,0.0,24908.0,4
559,154,6,1529,1779,3454,4151.100041511,220.11668501651485,0.0,24090.0,1
560,155,8,1049,1304,2229,3551.0102624196584,275.95763987874165,0.0,28161.0,1
561,155,8,1049,1304,2229,3780.00378000378,242.9707064445822,0.0,26455.0,4
562,155,8,1049,1304,2229,3629.2371343543587,249.4272166430411,0.0,27554.0,2
563,155,8,1049,1304,2229,3837.0040672243113,232.40551842810837,0.0,26062.0,3
564,155,8,1049,1304,2229,3586.9292298862943,237.5251720609186,0.0,27879.0,0
565,156,4,2009,354,4679,2867.4657337844815,332.7441512594986,0.0,34874.0,4
566,156,4,2009,354,4679,2955.3447409640335,323.9776339850893,0.0,33837.0,2
567,156,4,2009,354,4679,2859.593937660852,332.870477713372,0.0,34970.0,3
568,156,4,2009,354,4679,2925.5163536364166,322.80742028290575,0.0,34182.0,1
569,156,4,2009,354,4679,2196.8848173290276,468.10235150740215,0.0,45519.0,0
570,157,3,809,1542,392,5657.708628005657,159.6900028059486,0.0,17675.0,3
571,157,3,809,1542,392,191.53602313755158,330.21830303030305,25390.0,522095.0,4
572,157,3,809,1542,392,5980.14591556034,151.87019192323072,0.0,16722.0,1
573,157,3,809,1542,392,5832.604257801108,139.45547686308836,0.0,17145.0,0
574,157,3,809,1542,392,5797.101449275362,147.29902823322402,0.0,17250.0,2
575,158,7,1769,592,2842,3458.532198934772,275.3705621301775,0.0,28914.0,1
576,158,7,1769,592,2842,3284.827382321059,278.6966199505359,0.0,30443.0,4
577,158,7,1769,592,2842,3475.9637109388577,273.7169381887877,0.0,28769.0,3
578,158,7,1769,592,2842,3424.6575342465753,265.97249336287604,0.0,29200.0,0
579,158,7,1769,592,2842,3400.4352557127313,285.72550041074754,0.0,29408.0,2
580,159,5,329,117,1617,3921.5686274509803,238.56778007923262,0.0,25500.0,4
581,159,5,329,117,1617,3907.7764751856193,243.33277860207724,0.0,25590.0,3
582,159,5,329,117,1617,2784.6620812564397,373.3519526344118,0.0,35911.0,2
583,159,5,329,117,1617,4124.561765312435,224.23738295269985,0.0,24245.0,1
584,159,5,329,117,1617,3886.966999650173,234.8947526537152,0.0,25727.0,0
585,160,1,1289,1067,4067,5628.4122249113525,155.6060939941504,0.0,17767.0,4
586,160,1,1289,1067,4067,5701.9044360816515,152.23624187906046,0.0,17538.0,2
587,160,1,1289,1067,4067,5634.755169887869,156.33145910036816,0.0,17747.0,3
588,160,1,1289,1067,4067,5446.029844243547,165.10980690649788,0.0,18362.0,1
589,161,2,269,1839,4833,5110.384300899427,184.28525893199378,0.0,19568.0,0
590,161,2,269,1839,4833,192.2038283158524,255.5387281035796,23989.0,520281.0,1
591,162,5,1229,889,2383,4329.941545789132,210.23261410122723,0.0,23095.0,2
592,162,5,1229,889,2383,4196.038939241356,215.33548771999602,0.0,23832.0,3
593,162,5,1229,889,2383,4268.396790165614,208.7518058713455,0.0,23428.0,1
594,162,5,1229,889,2383,4325.446602361694,212.89048985611225,0.0,23119.0,0
595,162,5,1229,889,2383,3806.768434276143,267.998899779956,0.0,26269.0,4
596,163,7,749,414,3608,2944.6407538280328,327.46794922966393,0.0,33960.0,3
597,163,7,749,414,3608,2872.4076520939852,328.31813738204016,0.0,34814.0,1
598,163,7,749,414,3608,2863.1964725419457,327.4388154479013,0.0,34926.0,2
599,163,7,749,414,3608,2938.0655776236927,329.1159478354935,0.0,34036.0,0
600,163,7,749,414,3608,2863.5244258633525,336.834221598878,0.0,34922.0,4
601,164,3,1709,1364,1158,93.9911460340436,685.287130234345,37082.0,1063930.0,0
602,165,4,989,651,4220,178.0953415601508,766.622669032131,24615.0,561497.0,0
603,166,8,1949,1601,1770,3601.786486097104,246.3783113741328,0.0,27764.0,3
604,166,8,1949,1601,1770,3637.1571979340947,258.30377135532456,0.0,27494.0,0
605,166,8,1949,1601,1770,4002.2412551028574,225.44777136443804,0.0,24986.0,4
606,166,8,1949,1601,1770,4303.851947493006,207.76134181469035,0.0,23235.0,1
607,166,8,1949,1601,1770,4119.634176485128,219.75537412777254,0.0,24274.0,2
608,167,6,509,1126,2995,4044.1622517895416,221.7082015770724,0.0,24727.0,2
609,167,6,509,1126,2995,4089.310542242578,223.16143074947843,0.0,24454.0,1
610,167,6,509,1126,2995,3946.4856545246457,230.07923284387175,0.0,25339.0,0
611,167,6,509,1126,2995,4110.321016071355,219.95981713185756,0.0,24329.0,4
612,167,6,509,1126,2995,4158.522892668524,217.64294571782872,0.0,24047.0,3
613,168,3,1469,176,545,49.311950356673336,1964.5770095559303,46270.0,2027906.0,0
614,169,2,629,1482,1464,63.876825040737444,1603.7592520954222,42252.0,1565513.0,0
615,170,6,1589,532,3914,92.5908779467047,851.6181818181818,31367.0,1080020.0,0
616,171,7,149,1007,239,176.0575778702667,531.2788883134818,20841.0,567996.0,0
617,172,4,1109,1957,2689,4646.408326363721,197.75857519788917,0.0,21522.0,2
618,172,4,1109,1957,2689,4756.468797564688,187.44159801150602,0.0,21024.0,1
619,172,4,1109,1957,2689,4702.562896778744,198.28494785097993,0.0,21265.0,0
620,172,4,1109,1957,2689,4629.62962962963,190.76502023968573,0.0,21600.0,4
621,172,4,1109,1957,2689,4510.599909788002,197.80792993821606,0.0,22170.0,3
622,173,3,389,295,2076,186.15595401203313,342.30302562519296,24270.0,537184.0,0
623,174,7,1349,1245,4526,3225.286244154169,286.44314484740823,0.0,31005.0,0
624,174,7,1349,1245,4526,3439.026067817594,265.33215730829795,0.0,29078.0,1
625,174,7,1349,1245,4526,3272.893892779996,281.7496534404822,0.0,30554.0,2
626,174,7,1349,1245,4526,97.56878111224508,238.3205272464234,37785.0,1024918.0,3
627,175,5,869,1720,851,192.49055833811352,207.55759092127602,27763.0,519506.0,0
628,176,1,1829,770,3301,5437.737901033171,164.58134646567774,0.0,18390.0,4
629,176,1,1829,770,3301,5379.52552584862,169.02971108667398,0.0,18589.0,2
630,176,1,1829,770,3301,5510.552708436656,161.9618901221752,0.0,18147.0,1
